Date,Open Price,Close Price,High Price,Low Price,Volume
02-Apr-2020,5454.57,5480.22,5552.36,5395.07,1498528384
03-Apr-2020,5480.22,5415.50,5486.29,5396.66,1163112448
06-Apr-2020,5415.50,5582.39,5590.58,5415.50,1161407232
07-Apr-2020,5582.39,5704.45,5780.21,5582.39,1548487424
08-Apr-2020,5704.45,5677.73,5704.45,5589.73,1071282304
09-Apr-2020,5677.73,5842.66,5842.66,5677.68,1251951104
14-Apr-2020,5842.66,5791.31,5894.71,5778.98,1043769984
15-Apr-2020,5791.31,5597.65,5791.71,5576.35,1199273728
16-Apr-2020,5597.65,5628.43,5657.63,5577.78,1046951232
17-Apr-2020,5628.43,5786.96,5839.33,5628.43,1189974400
20-Apr-2020,5786.96,5812.83,5823.93,5707.73,817649216
21-Apr-2020,5812.83,5641.03,5812.83,5641.03,881173760
22-Apr-2020,5641.03,5770.63,5777.06,5641.03,813598080
23-Apr-2020,5770.63,5826.61,5843.61,5735.93,825518208
24-Apr-2020,5826.61,5752.23,5827.24,5728.80,793929728
27-Apr-2020,5752.23,5846.79,5855.61,5752.23,750351936
28-Apr-2020,5846.79,5958.50,5977.76,5835.92,1183685248
29-Apr-2020,5958.50,6115.25,6129.60,5950.83,1261201536
30-Apr-2020,6115.25,5901.21,6151.58,5897.91,1857087232
01-May-2020,5901.21,5763.06,5901.21,5746.06,778055232
04-May-2020,5763.06,5753.78,5792.85,5702.03,984594688
05-May-2020,5753.78,5849.42,5869.45,5753.78,953452672
06-May-2020,5849.42,5853.76,5897.44,5839.57,843421440
07-May-2020,5853.76,5935.98,5941.86,5853.60,929965056
11-May-2020,5935.98,5939.73,5999.13,5898.32,958813888
12-May-2020,5939.73,5994.77,6012.98,5911.37,925145664
13-May-2020,5994.77,5904.05,5994.77,5893.35,983610496
14-May-2020,5904.05,5741.54,5904.05,5661.14,1141461120
15-May-2020,5741.54,5799.77,5837.88,5741.54,909899840
18-May-2020,5799.77,6048.59,6058.17,5799.61,899165952
19-May-2020,6048.59,6002.23,6111.96,5965.10,986795712
20-May-2020,6002.23,6067.16,6074.46,5961.56,910308608
21-May-2020,6067.16,6015.25,6093.74,6004.10,942274752
22-May-2020,6015.25,5993.28,6015.25,5888.58,979113920
26-May-2020,5993.28,6067.76,6130.12,5993.28,1169590656
27-May-2020,6067.76,6144.25,6167.96,6067.76,1477341696
28-May-2020,6144.25,6218.79,6234.04,6144.25,1194641280
29-May-2020,6218.79,6076.60,6218.79,6060.16,2213403648
