,Country,Date,Gold Price per tr oz
536,Canada,2020-06-20,2353.5
537,Canada,2020-06-21,2353.5
538,Canada,2020-06-22,2388.0
539,Canada,2020-06-23,2388.6
540,Canada,2020-06-24,2396.4
541,Canada,2020-06-25,2398.3
542,Canada,2020-06-26,2396.8
543,Canada,2020-06-27,2396.8
544,Canada,2020-06-28,2396.8
545,Canada,2020-06-29,2426.9
546,Canada,2020-06-30,2408.2
547,Canada,2020-07-01,2402.3
548,Canada,2020-07-02,2418.7
549,Canada,2020-07-03,2407.1
550,Canada,2020-07-04,2407.1
551,Canada,2020-07-05,2407.1
552,Canada,2020-07-06,2419.7
553,Canada,2020-07-07,2430.9
554,Canada,2020-07-08,2451.7
555,Canada,2020-07-09,2459.0
556,Canada,2020-07-10,2449.7
557,Canada,2020-07-11,2449.7
558,Canada,2020-07-12,2449.7
559,Canada,2020-07-13,2449.5
560,Canada,2020-07-14,2453.7
561,Canada,2020-07-15,2442.7
562,Canada,2020-07-16,2446.2
563,Canada,2020-07-17,2454.7
564,Canada,2020-07-18,2454.7
565,Canada,2020-07-19,2454.7
566,Canada,2020-07-20,2458.9
567,Canada,2020-07-21,2477.5
568,Canada,2020-07-22,2487.8
569,Canada,2020-07-23,2516.6
570,Canada,2020-07-24,2549.4
571,Canada,2020-07-25,2549.4
572,Canada,2020-07-26,2549.4
573,Canada,2020-07-27,2589.2
574,Canada,2020-07-28,2600.2
575,Canada,2020-07-29,2605.3
576,Canada,2020-07-30,2631.5
577,Canada,2020-07-31,2632.0
578,Canada,2020-08-01,2632.0
579,Canada,2020-08-02,2632.0
580,Canada,2020-08-03,2629.4
581,Canada,2020-08-04,2644.4
582,Canada,2020-08-05,2713.2
583,Canada,2020-08-06,2749.3
584,Canada,2020-08-07,2718.1
585,Canada,2020-08-08,2718.1
586,Canada,2020-08-09,2718.1
587,Canada,2020-08-10,2729.3
588,Canada,2020-08-11,2579.7
589,Canada,2020-08-12,2556.6
590,Canada,2020-08-13,2568.6
591,Canada,2020-08-14,2576.6
592,Canada,2020-08-15,2576.6
593,Canada,2020-08-16,2576.6
594,Canada,2020-08-17,2605.8
595,Canada,2020-08-18,2647.9
596,Canada,2020-08-19,2607.3
597,Canada,2020-08-20,2546.3
598,Canada,2020-08-21,2539.9
599,Canada,2020-08-22,2539.9
600,Canada,2020-08-23,2539.9
601,Canada,2020-08-24,2567.6
602,Canada,2020-08-25,2523.9
603,Canada,2020-08-26,2540.3
604,Canada,2020-08-27,2529.3
605,Canada,2020-08-28,2564.9
606,Canada,2020-08-29,2564.9
607,Canada,2020-08-30,2564.9
608,Canada,2020-08-31,2550.3
609,Canada,2020-09-01,2573.7
610,Canada,2020-09-02,2543.2
611,Canada,2020-09-03,2547.2
612,Canada,2020-09-04,2526.8
613,Canada,2020-09-05,2526.8
614,Canada,2020-09-06,2526.8
615,Canada,2020-09-07,2522.6
616,Canada,2020-09-08,2521.3
617,Canada,2020-09-09,2565.2
618,Canada,2020-09-10,2588.3
619,Canada,2020-09-11,2568.5
620,China,2019-01-01,8781.2
621,China,2019-01-02,8790.2
622,China,2019-01-03,8868.0
623,China,2019-01-04,8785.5
624,China,2019-01-05,8785.5
625,China,2019-01-06,8785.5
626,China,2019-01-07,8851.2
627,China,2019-01-08,8820.5
628,China,2019-01-09,8805.0
629,China,2019-01-10,8759.1
630,China,2019-01-11,8698.1
631,China,2019-01-12,8698.1
632,China,2019-01-13,8698.1
633,China,2019-01-14,8736.4
634,China,2019-01-15,8742.4
635,China,2019-01-16,8728.1
636,China,2019-01-17,8744.1
637,China,2019-01-18,8693.8
638,China,2019-01-19,8693.8
639,China,2019-01-20,8693.8
640,China,2019-01-21,8688.3
641,China,2019-01-22,8731.2
642,China,2019-01-23,8686.6
